epoch,box,cls,dfl,Recall,Precision,mAP@50,mAP

001,2.398,2.537,1.815,0.213,0.243,0.105,0.038

002,1.631,1.266,1.235,0.437,0.433,0.400,0.194

003,1.381,0.944,1.116,0.598,0.602,0.618,0.373

004,1.355,0.906,1.101,0.568,0.617,0.601,0.352

005,1.334,0.883,1.092,0.609,0.642,0.646,0.392

006,1.271,0.817,1.065,0.673,0.672,0.698,0.434

007,1.201,0.748,1.036,0.703,0.716,0.734,0.469

008,1.160,0.708,1.020,0.677,0.718,0.738,0.487

009,1.121,0.673,1.004,0.731,0.764,0.791,0.535

010,1.090,0.652,0.992,0.738,0.751,0.771,0.522

011,1.084,0.657,0.989,0.741,0.787,0.807,0.552

012,1.049,0.618,0.977,0.757,0.738,0.798,0.555

013,1.027,0.597,0.968,0.735,0.813,0.821,0.578

014,1.002,0.579,0.959,0.749,0.809,0.819,0.575

015,0.982,0.562,0.952,0.773,0.796,0.829,0.584

016,0.969,0.554,0.948,0.781,0.779,0.820,0.575

017,0.945,0.539,0.938,0.775,0.804,0.832,0.588

018,0.925,0.524,0.932,0.786,0.806,0.835,0.594

019,0.902,0.511,0.924,0.779,0.823,0.838,0.594

020,0.885,0.499,0.918,0.791,0.817,0.844,0.601

021,0.864,0.487,0.912,0.773,0.850,0.852,0.606

022,0.841,0.474,0.904,0.778,0.843,0.854,0.608

023,0.819,0.461,0.898,0.813,0.822,0.851,0.614

024,0.794,0.448,0.889,0.803,0.813,0.843,0.602

025,0.772,0.438,0.883,0.783,0.835,0.847,0.607

026,0.746,0.425,0.876,0.792,0.847,0.849,0.615

027,0.717,0.411,0.868,0.805,0.819,0.850,0.610

028,0.688,0.398,0.861,0.809,0.809,0.848,0.609

029,0.658,0.386,0.853,0.786,0.843,0.856,0.616

030,0.627,0.374,0.846,0.804,0.826,0.855,0.621

031,0.596,0.361,0.839,0.808,0.819,0.853,0.618

032,0.564,0.350,0.833,0.797,0.834,0.851,0.617
